iteration,comparison,lhs,rhs,metric,better_direction,lhs_mean,rhs_mean,delta,mean_outcome,num_views,per_view_improved,per_view_regressed,per_view_tied
2000,E2_minus_E2_no_filter,E2,E2_no_filter,psnr,higher,29.64156454,29.61060719,0.03095735,improved,34,18,16,0
2000,E2_minus_E2_no_filter,E2,E2_no_filter,ssim,higher,0.94469732,0.94316956,0.00152776,improved,34,13,21,0
2000,E2_minus_E2_no_filter,E2,E2_no_filter,t_mae,lower,0.02694742,0.02779348,-0.00084606,improved,34,19,15,0
2000,E2_minus_E2_no_filter,E2,E2_no_filter,e_mae,lower,0.00675894,0.00669567,0.00006327,regressed,34,10,24,0
2000,E2_minus_E2_no_filter,E2,E2_no_filter,gradient_preservation,higher,0.54179866,0.53955080,0.00224786,improved,34,19,15,0
2000,E2_minus_B0,E2,B0,psnr,higher,29.64156454,29.56526259,0.07630195,improved,34,19,15,0
2000,E2_minus_B0,E2,B0,ssim,higher,0.94469732,0.94303549,0.00166183,improved,34,17,17,0
2000,E2_minus_B0,E2,B0,t_mae,lower,0.02694742,0.02825693,-0.00130951,improved,34,16,18,0
2000,E2_minus_B0,E2,B0,e_mae,lower,0.00675894,0.00672683,0.00003211,regressed,34,15,19,0
2000,E2_minus_B0,E2,B0,gradient_preservation,higher,0.54179866,0.53757069,0.00422797,improved,34,19,15,0
2000,E2_no_filter_minus_B0,E2_no_filter,B0,psnr,higher,29.61060719,29.56526259,0.04534460,improved,34,19,15,0
2000,E2_no_filter_minus_B0,E2_no_filter,B0,ssim,higher,0.94316956,0.94303549,0.00013407,improved,34,16,18,0
2000,E2_no_filter_minus_B0,E2_no_filter,B0,t_mae,lower,0.02779348,0.02825693,-0.00046345,improved,34,20,14,0
2000,E2_no_filter_minus_B0,E2_no_filter,B0,e_mae,lower,0.00669567,0.00672683,-0.00003116,improved,34,24,10,0
2000,E2_no_filter_minus_B0,E2_no_filter,B0,gradient_preservation,higher,0.53955080,0.53757069,0.00198011,improved,34,16,18,0
7000,E2_minus_E2_no_filter,E2,E2_no_filter,psnr,higher,31.00450084,30.19295875,0.81154209,improved,34,19,15,0
7000,E2_minus_E2_no_filter,E2,E2_no_filter,ssim,higher,0.94794881,0.94501015,0.00293866,improved,34,16,18,0
7000,E2_minus_E2_no_filter,E2,E2_no_filter,t_mae,lower,0.02396479,0.02773011,-0.00376532,improved,34,21,13,0
7000,E2_minus_E2_no_filter,E2,E2_no_filter,e_mae,lower,0.00642512,0.00646913,-0.00004401,improved,34,16,18,0
7000,E2_minus_E2_no_filter,E2,E2_no_filter,gradient_preservation,higher,0.52745980,0.52384254,0.00361726,improved,34,21,13,0
7000,E2_minus_B0,E2,B0,psnr,higher,31.00450084,30.39051661,0.61398423,improved,34,21,13,0
7000,E2_minus_B0,E2,B0,ssim,higher,0.94794881,0.94341818,0.00453063,improved,34,17,17,0
7000,E2_minus_B0,E2,B0,t_mae,lower,0.02396479,0.02791338,-0.00394859,improved,34,20,14,0
7000,E2_minus_B0,E2,B0,e_mae,lower,0.00642512,0.00642283,0.00000229,regressed,34,17,17,0
7000,E2_minus_B0,E2,B0,gradient_preservation,higher,0.52745980,0.53745191,-0.00999211,regressed,34,15,19,0
7000,E2_no_filter_minus_B0,E2_no_filter,B0,psnr,higher,30.19295875,30.39051661,-0.19755786,regressed,34,17,17,0
7000,E2_no_filter_minus_B0,E2_no_filter,B0,ssim,higher,0.94501015,0.94341818,0.00159197,improved,34,18,16,0
7000,E2_no_filter_minus_B0,E2_no_filter,B0,t_mae,lower,0.02773011,0.02791338,-0.00018327,improved,34,18,16,0
7000,E2_no_filter_minus_B0,E2_no_filter,B0,e_mae,lower,0.00646913,0.00642283,0.00004630,regressed,34,18,16,0
7000,E2_no_filter_minus_B0,E2_no_filter,B0,gradient_preservation,higher,0.52384254,0.53745191,-0.01360937,regressed,34,12,22,0
