iteration,comparison,lhs,rhs,image,val_view_id,metric,better_direction,lhs_value,rhs_value,delta,oriented_delta,outcome
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00000.png,001.jpg,psnr,higher,34.81259665,34.33309843,0.47949822,0.47949822,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00001.png,010.jpg,psnr,higher,33.19672500,34.35532461,-1.15859961,-1.15859961,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00002.png,019.jpg,psnr,higher,21.08166992,20.34460922,0.73706070,0.73706070,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00003.png,028.jpg,psnr,higher,25.32685458,24.02308248,1.30377210,1.30377210,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00004.png,037.jpg,psnr,higher,30.08486862,16.32476986,13.76009876,13.76009876,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00005.png,046.jpg,psnr,higher,24.86775340,31.27923697,-6.41148357,-6.41148357,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00006.png,055.jpg,psnr,higher,30.68838278,28.70174425,1.98663853,1.98663853,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00007.png,065.jpg,psnr,higher,27.81471673,30.48362289,-2.66890616,-2.66890616,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00008.png,074.jpg,psnr,higher,32.07126636,32.35929827,-0.28803191,-0.28803191,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00009.png,083.jpg,psnr,higher,26.79260946,22.79135382,4.00125564,4.00125564,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00010.png,092.jpg,psnr,higher,20.47424417,30.24861835,-9.77437418,-9.77437418,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00011.png,101.jpg,psnr,higher,30.52510333,35.24034681,-4.71524348,-4.71524348,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00012.png,110.jpg,psnr,higher,27.99455863,27.31782560,0.67673303,0.67673303,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00013.png,119.jpg,psnr,higher,33.81032147,27.43415274,6.37616873,6.37616873,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00014.png,129.jpg,psnr,higher,33.10250091,33.94978844,-0.84728753,-0.84728753,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00015.png,138.jpg,psnr,higher,31.77379723,33.53293601,-1.75913878,-1.75913878,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00016.png,147.jpg,psnr,higher,31.77793476,33.33465038,-1.55671562,-1.55671562,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00017.png,156.jpg,psnr,higher,25.84625013,26.17859167,-0.33234154,-0.33234154,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00018.png,165.jpg,psnr,higher,24.36834186,25.12627030,-0.75792844,-0.75792844,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00019.png,174.jpg,psnr,higher,34.17565021,34.97722467,-0.80157446,-0.80157446,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00020.png,183.jpg,psnr,higher,30.51651969,32.50729373,-1.99077404,-1.99077404,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00021.png,193.jpg,psnr,higher,29.81280165,28.87484313,0.93795852,0.93795852,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00022.png,202.jpg,psnr,higher,33.04971809,32.83448975,0.21522834,0.21522834,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00023.png,211.jpg,psnr,higher,31.49388681,31.01429950,0.47958731,0.47958731,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00024.png,220.jpg,psnr,higher,31.77687013,31.47995704,0.29691309,0.29691309,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00025.png,229.jpg,psnr,higher,31.88721160,31.54364149,0.34357011,0.34357011,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00026.png,238.jpg,psnr,higher,31.18965456,31.11392241,0.07573215,0.07573215,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00027.png,247.jpg,psnr,higher,31.93496978,32.26447187,-0.32950209,-0.32950209,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00028.png,257.jpg,psnr,higher,28.53151469,30.26490679,-1.73339210,-1.73339210,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00029.png,266.jpg,psnr,higher,24.11283743,24.55123614,-0.43839871,-0.43839871,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00030.png,275.jpg,psnr,higher,24.64965968,23.69009983,0.95955985,0.95955985,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00031.png,284.jpg,psnr,higher,34.86383222,33.33356638,1.53026584,1.53026584,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00032.png,293.jpg,psnr,higher,33.33746023,32.30831712,1.02914311,1.02914311,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00033.png,302.jpg,psnr,higher,30.07011151,28.64305336,1.42705815,1.42705815,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00000.png,001.jpg,ssim,higher,0.96732074,0.96712673,0.00019401,0.00019401,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00001.png,010.jpg,ssim,higher,0.95782697,0.95858848,-0.00076151,-0.00076151,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00002.png,019.jpg,ssim,higher,0.89704502,0.89160657,0.00543845,0.00543845,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00003.png,028.jpg,ssim,higher,0.93355614,0.92181808,0.01173806,0.01173806,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00004.png,037.jpg,ssim,higher,0.94178104,0.86052144,0.08125960,0.08125960,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00005.png,046.jpg,ssim,higher,0.94536859,0.95177752,-0.00640893,-0.00640893,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00006.png,055.jpg,ssim,higher,0.95294458,0.95157325,0.00137133,0.00137133,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00007.png,065.jpg,ssim,higher,0.94965547,0.95249397,-0.00283850,-0.00283850,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00008.png,074.jpg,ssim,higher,0.95618469,0.95702857,-0.00084388,-0.00084388,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00009.png,083.jpg,ssim,higher,0.94651151,0.93835187,0.00815964,0.00815964,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00010.png,092.jpg,ssim,higher,0.92264986,0.95517743,-0.03252757,-0.03252757,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00011.png,101.jpg,ssim,higher,0.95214409,0.95768875,-0.00554466,-0.00554466,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00012.png,110.jpg,ssim,higher,0.94867527,0.94972461,-0.00104934,-0.00104934,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00013.png,119.jpg,ssim,higher,0.95673442,0.95167863,0.00505579,0.00505579,improved
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00014.png,129.jpg,ssim,higher,0.96687245,0.96746337,-0.00059092,-0.00059092,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00015.png,138.jpg,ssim,higher,0.95501316,0.95509857,-0.00008541,-0.00008541,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00016.png,147.jpg,ssim,higher,0.95590210,0.95627910,-0.00037700,-0.00037700,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00017.png,156.jpg,ssim,higher,0.94188130,0.94273198,-0.00085068,-0.00085068,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00018.png,165.jpg,ssim,higher,0.93825638,0.94176197,-0.00350559,-0.00350559,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00019.png,174.jpg,ssim,higher,0.96096528,0.96209377,-0.00112849,-0.00112849,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00020.png,183.jpg,ssim,higher,0.95350742,0.95577842,-0.00227100,-0.00227100,regressed
2000,E2_minus_E2_no_filter,E2,E2_no_filter,00021.png,193.jpg,ssim,higher,0.94878852,0.94763017,0.00115835,0.00115835,improved
